Web of Science Categories	Record Count	% of 1.022
Computer Science Artificial Intelligence	329	32.192
Engineering Electrical Electronic	230	22.505
Computer Science Information Systems	227	22.211
Computer Science Theory Methods	193	18.885
Computer Science Interdisciplinary Applications	154	15.068
Telecommunications	82	8.023
Imaging Science Photographic Technology	73	7.143
Computer Science Software Engineering	72	7.045
Engineering Biomedical	47	4.599
Engineering Multidisciplinary	35	3.425
Materials Science Multidisciplinary	32	3.131
Multidisciplinary Sciences	32	3.131
Computer Science Hardware Architecture	31	3.033
Instruments Instrumentation	31	3.033
Radiology Nuclear Medicine Medical Imaging	31	3.033
Medical Informatics	30	2.935
Physics Applied	30	2.935
Automation Control Systems	29	2.838
Energy Fuels	28	2.740
Optics	27	2.642
Robotics	24	2.348
Chemistry Analytical	20	1.957
Chemistry Multidisciplinary	20	1.957
Statistics Probability	20	1.957
Engineering Civil	19	1.859
Showing 25 out of 120 entries
